"Month","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Month (20251115)","Sessions (20251115)","Sessions with cart additions (20251115)","Sessions that reached checkout (20251115)","Sessions that completed checkout (20251115)","Conversion rate (20251115)","Sessions (20251115) ","Sessions with cart additions (20251115) ","Sessions that reached checkout (20251115) ","Sessions that completed checkout (20251115) ","Conversion rate (20251115) "
"2024-01-01",0,0,0,0,,"2025-11-01",7199,719,570,314,0.04361716905125712,-100,-100,-100,-100,
"2024-02-01",0,0,0,0,,"2025-12-01",3193,415,387,220,0.0689007203257125,-100,-100,-100,-100,
"2024-03-01",0,0,0,0,,,0,0,0,0,,,,,,
"2024-04-01",679,0,0,0,0,,0,0,0,0,,,,,,
"2024-05-01",180,3,7,0,0,,0,0,0,0,,,,,,
"2024-06-01",937,57,77,23,0.02454642475987193,,0,0,0,0,,,,,,
"2024-07-01",8123,345,312,122,0.0150190816200911,,0,0,0,0,,,,,,
"2024-08-01",28048,1356,1155,440,0.015687393040501995,,0,0,0,0,,,,,,
"2024-09-01",11452,517,454,205,0.01790080335312609,,0,0,0,0,,,,,,
"2024-10-01",9885,501,419,186,0.01881638846737481,,0,0,0,0,,,,,,
"2024-11-01",7518,333,292,153,0.020351157222665603,,0,0,0,0,,,,,,
"2024-12-01",5463,206,171,97,0.017755811825004575,,0,0,0,0,,,,,,
"2025-01-01",16107,1023,911,580,0.03600918855156143,,0,0,0,0,,,,,,
"2025-02-01",7030,493,302,183,0.026031294452347083,,0,0,0,0,,,,,,
"2025-03-01",8861,576,381,189,0.021329421058571267,,0,0,0,0,,,,,,
"2025-04-01",7806,458,285,135,0.017294388931591083,,0,0,0,0,,,,,,
"2025-05-01",4890,248,170,94,0.019222903885480574,,0,0,0,0,,,,,,
"2025-06-01",8318,506,294,188,0.022601586919932675,,0,0,0,0,,,,,,
"2025-07-01",4742,257,180,87,0.018346689160691692,,0,0,0,0,,,,,,
"2025-08-01",5457,648,471,306,0.056074766355140186,,0,0,0,0,,,,,,
"2025-09-01",6805,539,355,235,0.034533431300514325,,0,0,0,0,,,,,,
"2025-10-01",4408,313,219,125,0.02835753176043557,,0,0,0,0,,,,,,
"2025-11-01",8852,805,613,338,0.03818346136466335,,0,0,0,0,,,,,,
"2025-12-01",8430,831,742,375,0.04448398576512456,,0,0,0,0,,,,,,
