"Month","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Month (previous_year)","Orders (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Net sales (previous_year)","Shipping charges (previous_year)","Duties (previous_year)","Additional fees (previous_year)","Taxes (previous_year)","Total sales (previous_year)","Orders (previous_year) ","Gross sales (previous_year) ","Discounts (previous_year) ","Returns (previous_year) ","Net sales (previous_year) ","Shipping charges (previous_year) ","Duties (previous_year) ","Additional fees (previous_year) ","Taxes (previous_year) ","Total sales (previous_year) "
"2025-01-01",601,2074910,-285766,-17345,1771799,0,0,0,150582,1922381,"2024-01-01",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2025-02-01",191,613295,-67463,0,545832,0,0,0,42520,588352,"2024-02-01",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2025-03-01",199,679230,-77710,0,601520,0,0,0,46503,648023,"2024-03-01",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2025-04-01",136,433746,-45542,-1436,386768,0,0,0,31433,418201,"2024-04-01",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2025-05-01",97,348180,-39358,0,308822,0,0,0,26114,334936,"2024-05-01",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"2025-06-01",200,793138,-138719,-6490,647929,0,0,0,55806,703735,"2024-06-01",28,101354,-23588,0,77766,0,0,0,7370,85136,614.2857142857143,682.542,-488.091,,733.177,,,,657.204,726.6
"2025-07-01",94,336750,-30743,0,306007,0,0,0,26292,332299,"2024-07-01",172,628088,-67646,-14219,546223,0,0,0,49310,595533,-45.348837209302324,-46.384,54.553,100,-43.977,,,,-46.68,-44.201
"2025-08-01",331,1392693,-209277,-4195,1179221,0,0,0,104041,1283262,"2024-08-01",607,2222914,-216860,-16607,1989447,0,0,0,172278,2161725,-45.46952224052718,-37.348,3.496,74.739,-40.726,,,,-39.608,-40.637
"2025-09-01",246,965972,-122163,-4197,839612,0,0,0,73789,913401,"2024-09-01",252,920066,-89536,0,830530,0,0,0,74832,905362,-2.380952380952381,4.989,-36.44,,1.093,,,,-1.393,0.887
"2025-10-01",130,506525,-58570,0,447955,0,0,0,37814,485769,"2024-10-01",194,714955,-68537,-9624,636794,0,0,0,50430,687224,-32.98969072164948,-29.152,14.542,100,-29.654,,,,-25.016,-29.314
"2025-11-01",367,2505771,-533688,0,1972083,0,0,0,165452,2137535,"2024-11-01",159,577200,-59743,0,517457,0,0,0,41360,558817,130.8176100628931,334.125,-793.306,,281.11,,,,300.029,282.51
"2025-12-01",382,2685321,-354932,-6280,2324109,0,0,0,196399,2520508,"2024-12-01",98,356089,-39339,-3618,313132,0,0,0,26124,339256,289.7959183673469,654.115,-802.239,-73.576,642.213,,,,651.795,642.951
